beyond,孤单一吻,http://content.12530.com/cmsdata/batchmusic/20070724/1USyjC2S.wma
beyond,无事无事,http://content.12530.com/newcmsdata/batchmusic/20080707/MdoKwSGd.wma
beyond,再见理想,http://content.12530.com/cmsdata/batchmusic/20070724/jfaH3gKp.wma
beyond,午夜迷墙,http://content.12530.com/cmsdata/batchmusic/20070724/lg3kJEja.wma
beyond,我的知己,http://content.12530.com/newcmsdata/batchmusic/20080707/y9zHYEvF.wma
beyond,午夜怨曲,http://content.12530.com/cmsdata/batchmusic/20070724/vMjTXEoj.wma
beyond,点解点解,http://content.12530.com/newcmsdata/batchmusic/20081121/2ni9Pu5K.mp3
beyond,曾经拥有,http://content.12530.com/cmsdata/batchmusic/20070724/9uxBqmmR.wma
beyond,现代舞台,http://content.12530.com/cmsdata/batchmusic/20070724/ylD05f31.wma
beyond,午夜流浪,http://content.12530.com/cmsdata/batchmusic/20070724/r1GPj4df.wma
beyond,早班火车,http://content.12530.com/cmsdata/batchmusic/20070724/H3C6lHE1.wma
beyond,我是愤怒,http://content.12530.com/cmsdata/batchmusic/20070724/ZPxVsstv.wma
beyond,岁月无声,http://content.12530.com/cmsdata/batchmusic/20070724/RPjz2kqt.wma
beyond,无重状态,http://content.12530.com/cmsdata/batchmusic/20070724/1TehJviw.wma
beyond,逝去日子,http://content.12530.com/cmsdata/batchmusic/20070724/dJg4XkOJ.wma
beyond,不见不散,http://content.12530.com/cmsdata/batchmusic/20070724/SlA3VLup.wma
beyond,光辉岁月,http://content.12530.com/cmsdata/batchmusic/20080430/6302nuqw.wma
beyond,时日无多,http://content.12530.com/cmsdata/batchmusic/20070724/KWws1Mzh.wma
beyond,一厢情愿,http://content.12530.com/newcmsdata/batchmusic/20080707/rwb4oZWf.wma
beyond,祝你愉快,http://content.12530.com/cmsdata/batchmusic/20070724/1MoJEzQ0.wma
beyond,青马大桥,http://content.12530.com/newcmsdata/batchmusic/20080707/0lv8F6Sq.wma
beyond,热情过后,http://content.12530.com/newcmsdata/batchmusic/20080707/jFmfjFxv.wma
beyond,错有错着,http://content.12530.com/newcmsdata/batchmusic/20080822/qZlrKGee.mp3
beyond,不再犹豫,http://content.12530.com/cmsdata/batchmusic/20070724/kwd0VUPm.wma
beyond,胡涂的人,http://content.12530.com/newcmsdata/batchmusic/20080707/RyxLGs2N.wma
